Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Katalon11Test,Chrome 122.0.0.0,,,05-03-2024 12:30:49,05-03-2024 12:31:21,31.370s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0101,Chrome 122.0.0.0,,,05-03-2024 12:30:49,05-03-2024 12:30:54,4.153s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:30:50,05-03-2024 12:30:51,1.131s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:30:51,05-03-2024 12:30:51,0.072s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:30:51,05-03-2024 12:30:52,0.675s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 12:30:52,05-03-2024 12:30:52,0.566s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 12:30:52,05-03-2024 12:30:53,0.539s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:30:53,05-03-2024 12:30:53,0.314s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:30:53,05-03-2024 12:30:53,0.272s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC01.png"")",Chrome 122.0.0.0,,,05-03-2024 12:30:53,05-03-2024 12:30:54,0.324s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:30:54,05-03-2024 12:30:54,0.092s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0102,Chrome 122.0.0.0,,,05-03-2024 12:30:54,05-03-2024 12:30:57,3.410s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:30:54,05-03-2024 12:30:54,0.585s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:30:54,05-03-2024 12:30:54,0.048s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 12:30:54,05-03-2024 12:30:55,0.594s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 12:30:55,05-03-2024 12:30:56,0.593s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 12:30:56,05-03-2024 12:30:56,0.574s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:30:56,05-03-2024 12:30:56,0.291s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:30:56,05-03-2024 12:30:57,0.279s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC02.png"")",Chrome 122.0.0.0,,,05-03-2024 12:30:57,05-03-2024 12:30:57,0.320s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:30:57,05-03-2024 12:30:57,0.079s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0103,Chrome 122.0.0.0,,,05-03-2024 12:30:57,05-03-2024 12:31:00,3.391s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:30:57,05-03-2024 12:30:58,0.545s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:30:58,05-03-2024 12:30:58,0.041s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjo"")",Chrome 122.0.0.0,,,05-03-2024 12:30:58,05-03-2024 12:30:58,0.617s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncanoncanon"")",Chrome 122.0.0.0,,,05-03-2024 12:30:58,05-03-2024 12:30:59,0.615s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""150"")",Chrome 122.0.0.0,,,05-03-2024 12:30:59,05-03-2024 12:30:59,0.551s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:30:59,05-03-2024 12:31:00,0.306s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:31:00,05-03-2024 12:31:00,0.266s,PASSED
