Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC04.png"")",Chrome 122.0.0.0,,,05-03-2024 12:39:56,05-03-2024 12:39:57,0.321s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:39:57,05-03-2024 12:39:57,0.076s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0105,Chrome 122.0.0.0,,,05-03-2024 12:39:57,05-03-2024 12:40:00,3.293s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:39:57,05-03-2024 12:39:57,0.573s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:39:57,05-03-2024 12:39:57,0.048s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohnjohnjoh"")",Chrome 122.0.0.0,,,05-03-2024 12:39:57,05-03-2024 12:39:58,0.567s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:39:58,05-03-2024 12:39:58,0.526s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:39:58,05-03-2024 12:39:59,0.584s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:39:59,05-03-2024 12:39:59,0.275s,PASSED
"verifyTextPresent(""Customer Details"", false)",Chrome 122.0.0.0,,,05-03-2024 12:39:59,05-03-2024 12:40:00,0.274s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC05.png"")",Chrome 122.0.0.0,,,05-03-2024 12:40:00,05-03-2024 12:40:00,0.308s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:40:00,05-03-2024 12:40:00,0.092s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0106,Chrome 122.0.0.0,,,05-03-2024 12:40:00,05-03-2024 12:40:03,3.309s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:40:00,05-03-2024 12:40:01,0.544s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:40:01,05-03-2024 12:40:01,0.052s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""John"")",Chrome 122.0.0.0,,,05-03-2024 12:40:01,05-03-2024 12:40:01,0.568s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:40:01,05-03-2024 12:40:02,0.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:40:02,05-03-2024 12:40:02,0.532s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:40:02,05-03-2024 12:40:03,0.295s,PASSED
"verifyTextPresent(""Customer Details Form"", false)",Chrome 122.0.0.0,,,05-03-2024 12:40:03,05-03-2024 12:40:03,0.257s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC06.png"")",Chrome 122.0.0.0,,,05-03-2024 12:40:03,05-03-2024 12:40:03,0.375s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:40:03,05-03-2024 12:40:03,0.106s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0108,Chrome 122.0.0.0,,,05-03-2024 12:40:03,05-03-2024 12:40:07,3.365s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:40:03,05-03-2024 12:40:04,0.588s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:40:04,05-03-2024 12:40:04,0.049s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:40:04,05-03-2024 12:40:05,0.583s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""cano"")",Chrome 122.0.0.0,,,05-03-2024 12:40:05,05-03-2024 12:40:05,0.546s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:40:05,05-03-2024 12:40:06,0.531s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:40:06,05-03-2024 12:40:06,0.285s,PASSED
"verifyTextPresent(""Customer Details Form"", false)",Chrome 122.0.0.0,,,05-03-2024 12:40:06,05-03-2024 12:40:06,0.261s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC08.png"")",Chrome 122.0.0.0,,,05-03-2024 12:40:06,05-03-2024 12:40:07,0.380s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:40:07,05-03-2024 12:40:07,0.108s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0110,Chrome 122.0.0.0,,,05-03-2024 12:40:07,05-03-2024 12:40:10,3.457s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:40:07,05-03-2024 12:40:07,0.603s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:40:07,05-03-2024 12:40:07,0.045s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:40:07,05-03-2024 12:40:08,0.613s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:40:08,05-03-2024 12:40:09,0.569s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""0"")",Chrome 122.0.0.0,,,05-03-2024 12:40:09,05-03-2024 12:40:09,0.556s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:40:09,05-03-2024 12:40:09,0.294s,PASSED
"verifyTextPresent(""Customer Details Form"", false)",Chrome 122.0.0.0,,,05-03-2024 12:40:09,05-03-2024 12:40:10,0.269s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC10.png"")",Chrome 122.0.0.0,,,05-03-2024 12:40:10,05-03-2024 12:40:10,0.385s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:40:10,05-03-2024 12:40:10,0.090s,PASSED
,,,,,,,
Test Cases/UC01 - Katalon11Test/TC0111,Chrome 122.0.0.0,,,05-03-2024 12:40:10,05-03-2024 12:40:13,3.327s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:40:10,05-03-2024 12:40:11,0.552s,PASSED
"navigateToUrl(""http://127.0.0.1/customer/"")",Chrome 122.0.0.0,,,05-03-2024 12:40:11,05-03-2024 12:40:11,0.047s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_First Name_firstname""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:40:11,05-03-2024 12:40:11,0.575s,PASSED
"setText(findTestObject(""Page_Customer Details Form/input_Last Name_lastname""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:40:11,05-03-2024 12:40:12,0.584s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Details Form/input_Age_age""), ""151"")",Chrome 122.0.0.0,,,05-03-2024 12:40:12,05-03-2024 12:40:12,0.538s,PASSED
"click(findTestObject(""Page_Customer Details Form/input_Age_sub""))",Chrome 122.0.0.0,,,05-03-2024 12:40:12,05-03-2024 12:40:13,0.280s,PASSED
"verifyTextPresent(""Customer Details Form"", false)",Chrome 122.0.0.0,,,05-03-2024 12:40:13,05-03-2024 12:40:13,0.242s,PASSED
"takeScreenshot(""C:\xampp\htdocs\customer\img\TC11.png"")",Chrome 122.0.0.0,,,05-03-2024 12:40:13,05-03-2024 12:40:13,0.385s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:40:13,05-03-2024 12:40:13,0.090s,PASSED
